,album,artist,author,bitrate,bpm,composer,copyright,date,discnumber,encodedby,genre,length,media,organization,performer,title,tracknumber
63,Pinkerton,Weezer,,320000,,Rivers Cuomo,,1996,1/1,,Alternative Pop,227.81705,,Geffen,Weezer,Falling For You,9
64,Pinkerton,Weezer,,320000,,Rivers Cuomo,,1996,1/1,,Alternative Pop,173.325625,,Geffen,Weezer,Butterfly,10
65,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,208.85215,,UNIVERSAL INTERNATIONAL,Weezer,(If You're Wondering If I Want You To) I Want You To,1
66,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,188.868475,,UNIVERSAL INTERNATIONAL,Weezer,I'm Your Daddy,2
67,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,194.955,,UNIVERSAL INTERNATIONAL,Weezer,The Girl Got Hot,3
68,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,262.14195,,UNIVERSAL INTERNATIONAL,Weezer,Can't Stop Partying,4
69,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,195.4252,,UNIVERSAL INTERNATIONAL,Weezer,Put Me Back Together,5
70,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,220.94685,,UNIVERSAL INTERNATIONAL,Weezer,Trippin' Down The Freeway,6
71,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,223.428475,,UNIVERSAL INTERNATIONAL,Weezer,Love Is The Answer,7
72,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,197.90685,,UNIVERSAL INTERNATIONAL,Weezer,Let It All Hang Out,8
73,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,159.5852,,UNIVERSAL INTERNATIONAL,Weezer,In The Mall,9
74,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,228.652975,,UNIVERSAL INTERNATIONAL,Weezer,I Don't Want To Let You Go,10
75,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,189.835,,UNIVERSAL INTERNATIONAL,Weezer,Turn Me Round,11
76,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,1/1,,Alternative Pop,183.800725,,UNIVERSAL INTERNATIONAL,Weezer,I Woke Up In Love This Morning,12
77,Raditude [Bonus Track],Weezer,,320000,,Lukasz Gottwald,,2009,2/2,,Alternative Pop,216.323175,,UNIVERSAL INTERNATIONAL,Weezer,Get Me Some,1
78,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,2/2,,Alternative Pop,213.763175,,UNIVERSAL INTERNATIONAL,Weezer,Run Over By A Truck,2
79,Raditude [Bonus Track],Weezer,,320000,,Rivers Cuomo,,2009,2/2,,Alternative Pop,240.7999,,UNIVERSAL INTERNATIONAL,Weezer,The Prettiest Girl In The Whole Wide World,3
80,Raditude [Bonus Track],Weezer,,320000,,Kazuhiro Hara,,2009,2/2,,Alternative Pop,280.558275,,UNIVERSAL INTERNATIONAL,Weezer,The Underdogs,4
81,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,179.621125,,Geffen,Weezer,Don't Let Go,1
82,Weezer (Green Album),Weezer,,320000,,Jason Cropper,,1994,1/1,,Alternative Pop,204.3852,,Geffen,Weezer,My Name Is Jonas,1
83,Weezer (Green Album),Weezer,,320000,,Patrick Wilson,,1994,1/1,,Alternative Pop,184.5844,,Geffen,Weezer,No One Else,2
84,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,139.183575,,Geffen,Weezer,Photograph,2
85,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,186.62195,,Geffen,Weezer,Hash Pipe,3
86,Weezer (Green Album),Weezer,,320000,,Patrick Wilson,,1994,1/1,,Alternative Pop,259.555825,,Geffen,Weezer,The World Has Turned And Left Me Here,3
87,Weezer (Green Album),Weezer,,320000,,Patrick Wilson,,1994,1/1,,Alternative Pop,159.29785,,Geffen,Weezer,Buddy Holly,4
88,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,200.388475,,Geffen,Weezer,Island In The Sun,4
89,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,154.648075,,Geffen,Weezer,Crab,5
90,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,1994,1/1,,Alternative Pop,305.6097,,Geffen,Weezer,Undone (The Sweater Song),5
91,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,128.421125,,Geffen,Weezer,Knock-Down Drag-Out,6
92,Weezer (Green Album),Weezer,,320000,,Patrick Wilson,,1994,1/1,,Alternative Pop,186.51745,,Geffen,Weezer,Surf Wax America,6
93,Weezer (Green Album),Weezer,,320000,,Patrick Wilson,,1994,1/1,,Alternative Pop,258.90275,,Geffen,Weezer,Say It Ain't So,7
